part_name,part_number,quantity,material_type,material_grade,material_thickness,finish,cut_len_in,num_cuts,mat_use_sqin,sheet_area_sqin,surf_area_sqin,volume_in3,length_in,thickness,source_file,part_id,price_per_part
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.125,Deburred,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p125_Deburred.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,69.18
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.125,Matte Black Powder Coat,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p125_Matte_Black_Powder_Coat.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,21.16
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.125,Matte Black Powder Coat,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p125_Matte_Black_Powder_Coat.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,40.25
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.125,Matte Black Powder Coat,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p125_Matte_Black_Powder_Coat.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,78.9
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.125,No Deburring,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p125_No_Deburring.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,15.96
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.125,No Deburring,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p125_No_Deburring.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,31.56
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.125,No Deburring,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p125_No_Deburring.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,67.34
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.16,Deburred,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p160_Deburred.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,17.98
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.16,Deburred,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p160_Deburred.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,38.42
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.16,Deburred,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p160_Deburred.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,73.56
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.16,Matte Black Powder Coat,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p160_Matte_Black_Powder_Coat.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,21.73
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.16,Matte Black Powder Coat,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p160_Matte_Black_Powder_Coat.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,45.27
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.16,Matte Black Powder Coat,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p160_Matte_Black_Powder_Coat.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,83.29
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.16,No Deburring,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p160_No_Deburring.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,16.52
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.16,No Deburring,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p160_No_Deburring.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,36.58
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.16,No Deburring,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p160_No_Deburring.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,71.73
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.187,Deburred,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p187_Deburred.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,19.32
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.187,Deburred,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p187_Deburred.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,49.05
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.187,Deburred,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p187_Deburred.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,82.04
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.187,Matte Black Powder Coat,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p187_Matte_Black_Powder_Coat.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,23.06
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.187,Matte Black Powder Coat,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p187_Matte_Black_Powder_Coat.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,55.91
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.187,Matte Black Powder Coat,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p187_Matte_Black_Powder_Coat.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,91.76
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.187,No Deburring,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p187_No_Deburring.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,17.86
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.187,No Deburring,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p187_No_Deburring.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,47.22
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.187,No Deburring,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p187_No_Deburring.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,80.2
